Yoruba,English
bi,as
Mo ti,I
rẹ,his
ti,that
o si,he
je,was
fun,for
lori,on
ni o wa,are
pẹlu,with
ti won,they
ki o wa ni,be
ni,at
ọkan,one
yi,this
lati,from
nipa,by
gbona,hot
ọrọ,word
ṣugbọn,but
kini,what
diẹ ninu awọn,some
ni,is
o,it
ti o,you
tabi,or
ní,had
awọn,the
ti awọn,of
ati ki o,and
kan,a
ni,in
a,we
le,can
jade,out
miiran,other
wọn,were
eyi ti,which
ṣe,do
wọn,their
akoko,time
ti o ba ti,if
yoo,will
Bawo,how
wi,said
kọọkan,each
sọ fun,tell
wo ni,does
ṣeto,set
mẹta,three
fẹ,want
air,air
daradara,well
tun,also
mu ṣiṣẹ,play
kekere,small
opin,end
fi,put
ile,home
ka,read
ọwọ,hand
ibudo,port
tobi,large
sipeli,spell
fi,add
ani,even
nibi,here
gbọdọ,must
nla,big
ga,high
iru,such
tẹle,follow
igbese,act
idi,why
beere,ask
awọn ọkunrin,men
ayipada,change
si lọ,went
ina,light
Iru,kind
nilo,need
ile,house
aworan,picture
gbiyanju,try
lẹẹkansi,again
eranko,animal
ojuami,point
iya,mother
aye,world
sunmọ,near
kọ,build
ara,self
bi,as
Mo ti,I
rẹ,his
ti,that
o si,he
je,was
fun,for
lori,on
ni o wa,are
pẹlu,with
ti won,they
ki o wa ni,be
ni,at
ọkan,one
ni,have
yi,this
lati,from
nipa,by
gbona,hot
ọrọ,word
ṣugbọn,but
kini,what
diẹ ninu awọn,some
ni,is
o,it
ti o,you
tabi,or
ní,had
awọn,the
ti awọn,of
to,to
ati ki o,and
kan,a
ni,in
a,we
le,can
jade,out
miiran,other
wọn,were
eyi ti,which
ṣe,do
wọn,their
akoko,time
ti o ba ti,if
yoo,will
Bawo,how
wi,said
ohun,an
kọọkan,each
sọ fun,tell
wo ni,does
ṣeto,set
mẹta,three
fẹ,want
air,air
daradara,well
tun,also
mu ṣiṣẹ,play
kekere,small
opin,end
fi,put
ile,home
ka,read
ọwọ,hand
ibudo,port
tobi,large
sipeli,spell
fi,add
ani,even
ilẹ,land
nibi,here
gbọdọ,must
nla,big
ga,high
iru,such
tẹle,follow
igbese,act
idi,why
beere,ask
awọn ọkunrin,men
ayipada,change
si lọ,went
ina,light
Iru,kind
pa,off
nilo,need
ile,house
aworan,picture
gbiyanju,try
wa,us
lẹẹkansi,again
eranko,animal
ojuami,point
iya,mother
aye,world
sunmọ,near
kọ,build
ara,self
aiye,earth
bayi,now
ri,find
duro,stand
ti ara,own
iwe,page
yoo,should
orilẹ-ede,country
ri,found
idahun,answer
ile-iwe,school
dagba,grow
iwadi,study
si tun,still
ko,learn
ohun ọgbìn,plant
ideri,cover
ounje,food
